Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1991,Pacific Coast,"912,960,848","308,684,014",Commercial,"414,116"
1991,Pacific Coast,"1,039,255",,Recreational,471
1991,South Atlantic,"297,384,735","173,335,517",Commercial,"134,893"
1991,South Atlantic,"123,007,605",,Recreational,"55,796"
1992,Great Lakes,"382,015","265,794",Commercial,173
1992,Gulf,"1,426,004,731","655,640,926",Commercial,"646,832"
1992,Gulf,"154,439,900",,Recreational,"70,053"
1992,Middle Atlantic,"952,267,611","285,181,429",Commercial,"431,946"
1992,Middle Atlantic,"100,435,513",,Recreational,"45,557"
1992,New England,"655,650,423","613,894,603",Commercial,"297,401"
1992,New England,"44,740,806",,Recreational,"20,294"
1992,Pacific Coast,"855,290,915","311,767,244",Commercial,"387,957"
1992,Pacific Coast,"1,250,080",,Recreational,567
1992,South Atlantic,"242,891,987","155,811,519",Commercial,"110,175"
1992,South Atlantic,"115,716,487",,Recreational,"52,489"
1993,Great Lakes,"500,229","354,163",Commercial,227
1993,Gulf,"1,717,963,001","624,459,165",Commercial,"779,263"
1993,Gulf,"176,646,491",,Recreational,"80,126"
1993,Middle Atlantic,"1,082,108,787","330,451,207",Commercial,"490,841"
1993,Middle Atlantic,"90,497,093",,Recreational,"41,049"
1993,New England,"640,067,881","561,322,137",Commercial,"290,333"
1993,New England,"38,824,761",,Recreational,"17,611"
1993,Pacific Coast,"849,163,275","312,487,347",Commercial,"385,178"
1993,Pacific Coast,"1,338,104",,Recreational,607
1993,South Atlantic,"262,283,311","172,811,015",Commercial,"118,971"
1993,South Atlantic,"93,465,333",,Recreational,"42,396"
1994,Great Lakes,"663,516","586,863",Commercial,301
1994,Gulf,"2,161,422,246","790,219,742",Commercial,"980,415"
1994,Gulf,"151,803,640",,Recreational,"68,858"
1994,Middle Atlantic,"928,605,104","337,192,495",Commercial,"421,213"
1994,Middle Atlantic,"96,487,533",,Recreational,"43,766"
1994,New England,"553,657,525","551,816,834",Commercial,"251,137"
1994,New England,"42,340,721",,Recreational,"19,206"
1994,Pacific Coast,"856,161,516","345,151,981",Commercial,"388,352"
1994,Pacific Coast,"1,353,090",,Recreational,614
1994,South Atlantic,"286,562,918","220,193,377",Commercial,"129,984"
1994,South Atlantic,"101,529,720",,Recreational,"46,054"
1995,Great Lakes,"445,766","355,224",Commercial,202
1995,Gulf,"1,488,960,975","764,269,570",Commercial,"675,388"
1995,Gulf,"165,857,759",,Recreational,"75,233"
1995,Middle Atlantic,"1,095,992,289","361,851,387",Commercial,"497,139"
1995,Middle Atlantic,"111,431,166",,Recreational,"50,545"
1995,New England,"601,240,807","564,910,085",Commercial,"272,721"
1995,New England,"35,262,277",,Recreational,"15,995"
1995,Pacific Coast,"938,287,917","371,375,356",Commercial,"425,605"
1995,Pacific Coast,"1,034,575",,Recreational,469
1995,South Atlantic,"274,158,369","247,966,795",Commercial,"124,357"
1995,South Atlantic,"95,936,928",,Recreational,"43,517"
1996,Great Lakes,"110,417","86,578",Commercial,50
1996,Gulf,"1,519,937,850","714,870,658",Commercial,"689,439"
1996,Gulf,"157,625,100",,Recreational,"71,498"
1996,Middle Atlantic,"984,763,236","345,194,894",Commercial,"446,686"
1996,Middle Atlantic,"106,216,331",,Recreational,"48,179"
1996,New England,"650,434,568","570,835,473",Commercial,"295,035"
1996,New England,"30,309,543",,Recreational,"13,748"
1996,Pacific Coast,"965,430,453","393,997,477",Commercial,"437,916"
1996,Pacific Coast,"1,012,054",,Recreational,459
1996,South Atlantic,"271,349,897","213,841,056",Commercial,"123,084"
1996,South Atlantic,"84,755,043",,Recreational,"38,445"
1997,Great Lakes,"40,052","55,315",Commercial,18
1997,Gulf,"1,811,649,757","770,716,860",Commercial,"821,759"
1997,Gulf,"180,083,320",,Recreational,"81,685"
1997,Middle Atlantic,"905,486,275","358,236,236",Commercial,"410,726"
1997,Middle Atlantic,"123,387,151",,Recreational,"55,968"
1997,New England,"649,088,765","573,467,862",Commercial,"294,425"
1997,New England,"36,898,715",,Recreational,"16,737"
1997,Pacific Coast,"1,004,004,698","376,331,081",Commercial,"455,414"
1997,Pacific Coast,"1,129,028",,Recreational,512
1997,South Atlantic,"301,168,057","223,837,661",Commercial,"136,609"
1997,South Atlantic,"92,093,857",,Recreational,"41,773"
1998,Great Lakes,"34,268","45,136",Commercial,16
1998,Gulf,"1,576,300,733","786,449,596",Commercial,"715,005"
1998,Gulf,"161,970,102",,Recreational,"73,469"
1998,Middle Atlantic,"915,722,982","355,913,851",Commercial,"415,369"
1998,Middle Atlantic,"112,770,592",,Recreational,"51,152"
1998,New England,"603,560,218","540,453,707",Commercial,"273,773"
1998,New England,"33,728,786",,Recreational,"15,299"
1998,Pacific Coast,"653,537,355","270,364,411",Commercial,"296,443"
1998,Pacific Coast,"1,212,856",,Recreational,550
1998,South Atlantic,"240,991,054","198,067,441",Commercial,"109,313"
1998,South Atlantic,"91,253,715",,Recreational,"41,392"
1999,Great Lakes,"70,872","104,846",Commercial,32
1999,Gulf,"2,004,445,898","823,364,392",Commercial,"909,211"
1999,Gulf,"188,029,183",,Recreational,"85,289"
1999,Middle Atlantic,"753,181,222","350,619,940",Commercial,"341,641"
1999,Middle Atlantic,"106,926,549",,Recreational,"48,502"
1999,New England,"584,063,783","662,196,670",Commercial,"264,930"
1999,New England,"38,266,875",,Recreational,"17,358"
1999,Pacific Coast,"976,099,158","340,962,421",Commercial,"442,756"
1999,Pacific Coast,"781,977",,Recreational,355
1999,South Atlantic,"215,676,429","204,680,750",Commercial,"97,830"
1999,South Atlantic,"125,384,163",,Recreational,"56,874"
2000,Great Lakes,"96,938","157,010",Commercial,44
2000,Gulf,"1,795,395,790","997,270,263",Commercial,"814,386"
2000,Gulf,"181,865,048",,Recreational,"82,493"
2000,Middle Atlantic,"715,405,136","347,403,004",Commercial,"324,506"
2000,Middle Atlantic,"133,159,651",,Recreational,"60,401"
2000,New England,"576,194,048","688,501,385",Commercial,"261,360"
2000,New England,"48,679,595",,Recreational,"22,081"
2000,Pacific Coast,"1,026,881,288","359,225,974",Commercial,"465,790"
2000,Pacific Coast,"828,345",,Recreational,376
2000,South Atlantic,"221,638,632","220,094,673",Commercial,"100,535"
2000,South Atlantic,"127,117,536",,Recreational,"57,660"
2001,Great Lakes,"62,575","117,625",Commercial,28
2001,Gulf,"1,613,163,314","807,403,056",Commercial,"731,726"
2001,Gulf,"190,164,205",,Recreational,"86,258"
2001,Middle Atlantic,"835,471,349","348,300,485",Commercial,"378,967"
2001,Middle Atlantic,"124,330,390",,Recreational,"56,396"
2001,New England,"631,497,979","638,077,757",Commercial,"286,446"
2001,New England,"46,403,466",,Recreational,"21,048"
2001,Pacific Coast,"914,007,986","320,922,957",Commercial,"414,591"
2001,South Atlantic,"199,127,620","177,614,853",Commercial,"90,324"
2001,South Atlantic,"124,885,725",,Recreational,"56,648"
2002,Great Lakes,"56,209","73,321",Commercial,25
2002,Gulf,"1,728,898,619","681,646,425",Commercial,"784,223"
2002,Gulf,"175,740,875",,Recreational,"79,716"
2002,Middle Atlantic,"702,265,512","342,440,684",Commercial,"318,546"
2002,Middle Atlantic,"119,033,915",,Recreational,"53,993"
2002,New England,"589,024,867","696,501,697",Commercial,"267,180"
2002,New England,"48,419,554",,Recreational,"21,963"
2002,Pacific Coast,"882,703,009","323,935,320",Commercial,"400,391"
2002,South Atlantic,"216,041,785","170,667,823",Commercial,"97,996"
2002,South Atlantic,"116,527,846",,Recreational,"52,857"
2003,Great Lakes,"27,919","48,527",Commercial,13
2003,Gulf,"1,595,895,410","662,902,465",Commercial,"723,893"
2003,Gulf,"171,698,547",,Recreational,"77,882"
2003,Middle Atlantic,"710,759,432","357,221,030",Commercial,"322,398"
2003,Middle Atlantic,"143,202,880",,Recreational,"64,956"
2003,New England,"660,518,315","690,815,001",Commercial,"299,609"
2003,New England,"53,269,825",,Recreational,"24,163"
2003,Pacific Coast,"797,941,224","395,759,019",Commercial,"361,944"
2003,South Atlantic,"197,369,622","156,451,803",Commercial,"89,526"
2003,South Atlantic,"125,962,042",,Recreational,"57,136"
2004,Great Lakes,"61,739","90,046",Commercial,28
2004,Gulf,"1,452,121,853","641,809,626",Commercial,"658,678"
2004,Gulf,"178,682,719",,Recreational,"81,050"
2004,Middle Atlantic,"762,654,974","410,464,365",Commercial,"345,938"
2004,Middle Atlantic,"122,658,060",,Recreational,"55,637"
2004,New England,"731,962,598","833,589,639",Commercial,"332,016"
2004,New England,"50,153,428",,Recreational,"22,749"
2004,Pacific Coast,"1,064,379,133","402,114,048",Commercial,"482,799"
2004,Pacific Coast,"2,543,723",,Recreational,"1,154"
2004,South Atlantic,"200,434,134","162,150,225",Commercial,"90,916"
2004,South Atlantic,"125,257,637",,Recreational,"56,816"
2005,Great Lakes,"51,371","106,992",Commercial,23
2005,Gulf,"1,193,584,910","618,033,738",Commercial,"541,407"
2005,Gulf,"138,882,599",,Recreational,"62,997"
2005,Middle Atlantic,"709,968,541","450,274,355",Commercial,"322,040"
2005,Middle Atlantic,"124,455,120",,Recreational,"56,452"
2005,New England,"701,379,950","977,935,353",Commercial,"318,144"
2005,New England,"44,727,628",,Recreational,"20,288"
2005,Pacific Coast,"1,158,438,302","401,964,927",Commercial,"525,464"
